Topic,Media,Sentence,Sentiment
koalicja obywatelska,Fronda,Dziwne zachowanie Ewy Kopacz,"{'radoœæ': 1, 'wstrêt': 1, 'z³oœæ': 1}"
pedofilia,Fronda,",,Co to jest za pedofilia?To po prostu pederastia!''","{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"
koœció³,Fronda,Franciszek zachêca Polaków do pokuty za grzechy,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"
koœció³,Fronda,Ks. Zieliñski:To PiS robi najwiêcej w walce z pedofili¹,"{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"
rz¹d,Fronda,Atak na Magierowskiego to efekt nagonki na Polskê,"{'radoœæ': 1, 'smutek': 2, 'wstrêt': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'strach': 1, 'z³oœæ': 1}"
muzu³manie,Fronda,Mohammed najpopularniejszym imieniem w Berlinie,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'zaufanie': 1}"
koœció³,Fronda,Abp G³ódŸ przeprasza: U¿y³em niew³aœciwych s³ów,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"
amber gold,Fronda,KuŸmiuk: Raport ws. Amber Gold jest mia¿d¿¹cy!,"{'radoœæ': 1, 'smutek': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'zaufanie': 1, 'z³oœæ': 1}"
szkolnictwo,Fronda,"Homoideologia na UW! Temat: têczowe ,,rodziny''",{'radoœæ': 1}
polska,Fronda,¯ydowskie roszczenia? Stanowcze stanowisko Polski!,"{'smutek': 1, 'strach': 1, 'zaufanie': 1, 'z³oœæ': 1}"
polska,Fronda,Zaatakowa³ ambasadora RP. Sprawca wyda³ oœwiadczenie,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 2}"
koœció³,Fronda,Ks. Kobyliñski: Tuszowanie pedofilii to wielki system,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"
¿ydzi,Fronda,"Przewodnicz¹cy TSK¯ o ""polako¿ercach w Izraelu""","{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"
koalicja europejska,Fronda,KE bez szans! Zjednoczona Prawica znowu wygrywa,"{'radoœæ': 1, 'zaufanie': 1}"
koœció³,Fronda,Abp Marek Jêdraszewski organizuje szkolenie dla ksiê¿y,{'zaufanie': 2}
koœció³,Fronda,Kard. Müller: Papie¿ to nie heretyk. Ale mamy problem,{'wstrêt': 2}
pedofilia,Fronda,Ksi¹dz pedofil na rekolekcjach? Proboszcz wyjaœnia,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"
koœció³,Fronda,Papie¿ o tajemnicy z³a i jedynej mo¿liwej odpowiedzi,"{'smutek': 2, 'wstrêt': 1, 'z³oœæ': 1, 'radoœæ': 3, 'zaufanie': 3}"
koœció³,Fronda,Gretkowska: Koœció³ to NAJEDCA!!!,{'strach': 1}
pis,Fronda,Ziobro MIA¯D¯Y hipokryzjê opozycji ws. pedofilów!!!,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"
