Topic,Media,Sentence,Sentiment
polska,Gazeta,Poznañ: Atak no¿ownika na przystanku autobusowym. Ugodzony zmar³ na miejscu,{'strach': 1}

koalicja obywatelska,Gazeta,Tragiczny wypadek pod Gór¹ Kalwari¹. Kierowca sp³on¹³ po zderzeniu z ciê¿arówk¹,"{'smutek': 2, 'z³oœæ': 1}"

usa,Gazeta,21-latek uprowadzi³ nastolatkê i zamordowa³ jej rodziców. W USA zapad³ wyrok w g³oœnej sprawie,"{'radoœæ': 2, 'smutek': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'z³oœæ': 2, 'wstrêt': 1, 'zaufanie': 1}"

koœció³,Gazeta,"Abp Jêdraszewski o liœcie biskupów: mówienie, ¿e ca³y Koœció³ jest z³y, jest po prostu nieprawd¹","{'radoœæ': 4, 'smutek': 4, 'strach': 4, 'z³oœæ': 4}"

koalicja obywatelska,Gazeta,"Makabryczny wypadek w Ostrzeszowie. ""Cia³o by³o porozrzucane po ca³ej drodze""","{'smutek': 2, 'strach': 2, 'z³oœæ': 2, 'radoœæ': 1}"

koalicja obywatelska,Gazeta,Instruktorka jogi 17 dni b³¹ka³a siê po lesie na Hawajach. Przetrwa³a jedz¹c jagody i æmy,"{'smutek': 1, 'z³oœæ': 1}"

polska,Gazeta,Kraków. Szczêœliwy fina³ poszukiwañ 10-letniego Kuby z autyzmem. Odnalaz³ siê w Wieliczce,"{'radoœæ': 2, 'smutek': 1}"

iran,Gazeta,"Roœnie napiêcie nad Zatok¹ Persk¹. ""Iran bêdzie broni³ siê przed jak¹kolwiek militarn¹ agresj¹""","{'zaufanie': 1, 'smutek': 1, 'wstrêt': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'z³oœæ': 1}"

pis,Gazeta,Wybory do Europarlamentu 2019. Jaros³aw Kaczyñski: Rozstrzygaj¹cy bój odbêdzie siê na jesieni,{'zaufanie': 1}

koœció³,Gazeta,"Marsz Równoœci w Gdañsku. Wagina w koronie na drzewcu oburza Ordo Iuris. ""Nabijanie siê z katolików""","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Gazeta,"Wybory do europarlamentu 2019. Schetyna o wyniku KE: Pierwszy krok, przysz³oœæ nale¿y do nas","{'cieszenie siê na coœ oczekiwanego': 2, 'radoœæ': 2, 'smutek': 2, 'strach': 2, 'z³oœæ': 2}"

pis,Gazeta,"Patryk Jaki zapowiada walkê z trollami w Internecie. ""Zero tolerancji dla ³amania prawa""","{'wstrêt': 2, 'z³oœæ': 2, 'radoœæ': 1, 'smutek': 1, 'zaufanie': 1}"

koalicja obywatelska,Gazeta,"""FAZ"": Donald Tusk szykuje siê do polskiej kampanii prezydenckiej. W tym celu prowadzi ""delikatn¹ misjê""","{'radoœæ': 2, 'zaufanie': 2}"

rz¹d,Gazeta,Austria. Rz¹d Sebastiana Kurza otrzyma³ wotum nieufnoœci. We wrzeœniu przedterminowe wybory,"{'smutek': 1, 'strach': 1}"

ue,Gazeta,"Wybory do europarlamentu 2019. Kto nie dosta³ siê do PE? Wœród przegranych Sellin, Lichocka czy Wa³êsa","{'smutek': 2, 'z³oœæ': 2}"

pis,Gazeta,Wybory do Sejmu. Nowy sonda¿ CBOS: ogromna przewaga PiS,"{'radoœæ': 1, 'smutek': 1}"

koœció³,Gazeta,Papie¿ Franciszek w obronie Jana Paw³a II: Jego œwiêtoœæ by³a wielka. By³ czasem oszukiwany,"{'zaufanie': 2, 'radoœæ': 2, 'smutek': 2, 'wstrêt': 2, 'z³oœæ': 2}"

pis,Gazeta,"Ca³e Podkarpacie dla PiS? Nie, jest jeden ma³y punkcik na mapie, gdzie obóz rz¹dz¹cy przegra³","{'radoœæ': 1, 'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

polska,Gazeta,Polska policja i FBI namierzy³y 18-latka z £odzi. Podejrzewany o przestêpstwa w darknecie,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Gazeta,"Donald Tusk skomentowa³ wyniki wyborów i odniós³ siê do s³ów Szyd³o. ""Ma³o elegancki, ale komplement""",{'radoœæ': 3}

koalicja obywatelska,Gazeta,Oœwiadczenie kieleckiej kurii po filmie Sekielskich. Wœród 10 oskar¿onych tylko jeden skazany,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Gazeta,"Alert RCB. Po po³udniu za³amanie pogody. Silny wiatr nawet do 100 km/h, mo¿liwe tr¹by powietrzne","{'smutek': 3, 'strach': 2, 'zaskoczenie czymœ nieprzewidywanym': 1, 'radoœæ': 2, 'wstrêt': 2, 'zaufanie': 1, 'z³oœæ': 1}"

rz¹d,Gazeta,MON wys³a³o zapytanie ofertowe o zakup 32 samolotów F-35A. 185 mld z³ na modernizacjê armii do 2026,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 2, 'zaufanie': 2}"

koalicja obywatelska,Gazeta,"Schetyna zasugerowa³, ¿e wygran¹ w Cisnej dali ""ludzie nap³ywowi"". Europos³anka odpowiada szefowi","{'radoœæ': 1, 'smutek': 1, 'z³oœæ': 1}"

pis,Gazeta,"Narada PiS na Nowogrodzkiej ws. rekonstrukcji rz¹du. ""Ró¿ne scenariusze s¹ omawiane""","{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

pis,Gazeta,"Pos³owie wyje¿d¿aj¹ do Brukseli, nowe twarze na Wiejskiej. Wybory bêd¹ kosztowaæ PiS jednego cz³onka klubu","{'wstrêt': 1, 'z³oœæ': 1}"

niemcy,Gazeta,Niemcy. NietrzeŸwy kierowca przewozi³ dwa auta - ustawione jedno na drugim,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'z³oœæ': 1, 'cieszenie siê na coœ oczekiwanego': 1, 'zaufanie': 1}"

koalicja obywatelska,Gazeta,D¹browy: Pijany wujek pokazywa³ dziecku ci¹gnik. Pojazd przejecha³ po mê¿czyŸnie i stopie ch³opca,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Gazeta,"Pytanie o honorow¹ dymisjê szefa PSL. W³adys³aw Kosiniak-Kamysz: ""Jestem spokojny o swoj¹ pozycjê""",{'zaufanie': 1}

malezja,Gazeta,"Malezja sta³a siê œwiatowym ""punktem zrzutu"" plastikowych odpadów. Czêœæ z nich zwróci m.in. do USA","{'radoœæ': 2, 'wstrêt': 2}"

koalicja obywatelska,Gazeta,"""G***o byœmy mieli, a nie mandaty, gdybyœmy poszli samodzielnie"". Gor¹cy powyborczy spór w PSL",{'z³oœæ': 1}

koalicja obywatelska,Gazeta,"6-latka przypadkiem ruszy³a samochodem. Przejecha³a po swojej babci, kobieta zginê³a","{'radoœæ': 1, 'zaufanie': 2, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,NCzas,"Kolejny atak na katolików. W niedzielê zaatakowali koœció³, wczoraj maryjn¹ procesjê....","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

polska,NCzas,Miêdzynarodowy skandal! Bezpardonowy atak ¿ydowskiej baronowej w Izbie Lordów. „Polska bezprawnie...,"{'wstrêt': 1, 'smutek': 2, 'strach': 1, 'z³oœæ': 2}"

konfederacja,NCzas,"Grzegorz Braun przeszed³ sam siebie! Polityk Konfederacji: „Szanowne, Drogie, Kochane Pisiory”...","{'radoœæ': 3, 'zaufanie': 3, 'cieszenie siê na coœ oczekiwanego': 1}"

rz¹d,NCzas,5G coraz bli¿ej. Rz¹d przyj¹³ projekt ustawy u³atwiaj¹cej wprowadzenie sieci nowej...,"{'radoœæ': 1, 'zaufanie': 1}"

usa,NCzas,"Ostatni tryumf rozs¹dku. Facet, który zosta³ mistrzem USA w podnoszeniu ciê¿arów...","{'zaufanie': 2, 'radoœæ': 2, 'strach': 1, 'wstrêt': 3, 'z³oœæ': 3, 'smutek': 1}"

konfederacja,NCzas,Jacek Wilk ostro komentuje sytuacjê na polskiej wsi: „To jest katastrofa!...,"{'smutek': 1, 'strach': 1}"

¿ydzi,NCzas,„Wyj¹tkowa bezczelnoœæ i chytroœæ cwaniaków z Przedsiêbiorstwa HOLOKAUST”. Korwin-Mikke ostro o...,"{'radoœæ': 6, 'smutek': 6, 'wstrêt': 6, 'zaskoczenie czymœ nieprzewidywanym': 2, 'z³oœæ': 8, 'zaufanie': 2, 'strach': 2}"

media,NCzas,Pikantnie w „Big Brother”. Uczestnicy programu TVN s¹ par¹! Fani wêsz¹...,"{'smutek': 1, 'zaufanie': 1}"

koœció³,NCzas,Archidiecezja Krakowska domaga siê sprostowañ od TVN i Gazety Wyborczej. Zmanipulowane...,{'z³oœæ': 2}

koalicja obywatelska,NCzas,Po tym BANALNYM pytaniu odpad³ z Milionerów TVN. Hubert Urbañski by³...,{'z³oœæ': 2}

usa,NCzas,USA chc¹ zakazaæ krajom NATO rozwoju w³asnej broni. Sprzeciw bêdzie surowo...,"{'radoœæ': 2, 'smutek': 2, 'z³oœæ': 1}"

pis,NCzas,"Najnowszy SONDA¯: PiS na prowadzeniu. Sonda¿ownie g³owi¹ siê, jak pomin¹æ Konfederacjê",{'z³oœæ': 1}

media,NCzas,"Szokuj¹cy hejt czytelników „Onetu” na Tuliê! Wszystko dlatego, ¿e promuj¹ tradycjê,...","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

konfederacja,NCzas,Liroy ostro pojecha³! „Trzeba odsun¹æ tych wszystkich idiotów od rz¹dów” [VIDEO],"{'wstrêt': 1, 'z³oœæ': 1}"

usa,NCzas,Asteroida uderza w USA! Nowy Jork zostaje zmieciony z powierzchni ziemi....,"{'radoœæ': 2, 'smutek': 2, 'zaufanie': 2, 'z³oœæ': 2}"

usa,NCzas,Najbardziej uzbrojony cz³owiek w USA. Ma nieprawdopodobn¹ iloœæ broni [VIDEO],"{'radoœæ': 1, 'smutek': 1, 'strach': 1, 'wstrêt': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'z³oœæ': 1}"

polska fair play,NCzas,Hit Internetu. Rosiewicz œpiewa o Fair Play Gwiazdowskiego. Ten spot wyborczy...,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'zaskoczenie czymœ nieprzewidywanym': 1}"

pis,NCzas,PILNE! PiS zdj¹³ z porz¹dku obrad projekt przeciwko ustawie 447. „Polska le¿y plackiem przed Przedsiêbiorstwem Holokaust”,"{'smutek': 6, 'z³oœæ': 6, 'strach': 3, 'wstrêt': 3}"

rz¹d,NCzas,Sejm RP najlepszym … bankiem w Polsce. Kredyty dla pos³ów na...,"{'radoœæ': 2, 'zaufanie': 2}"

polska,NCzas,PILNE! Atak na ambasadora Polski w Izraelu,"{'smutek': 1, 'z³oœæ': 1}"

wiosna,NCzas,Biedroñ dosta³ rykoszetem po filmie Sekielskiego! Czy jako prezydent kry³ pedofiliê...,"{'smutek': 3, 'strach': 3, 'wstrêt': 3, 'z³oœæ': 3}"

iran,NCzas,Niepokoj¹ce s³owa amerykañskiego senatora. Sugeruje atak nuklearny na Iran,"{'smutek': 1, 'strach': 1}"

rz¹d,NCzas,Ambasador Izraela wezwana do MSZ po ataku na polskiego ambasadora w Tel Awiwie! Wyj¹tkowo ³agodna reakcja Polski,"{'radoœæ': 4, 'zaufanie': 4}"

pis,NCzas,PILNE! PiS zdj¹³ z porz¹dku obrad projekt przeciwko ustawie 447. „Polska...,"{'smutek': 2, 'z³oœæ': 2}"

polska,NCzas,Zbiera siê Rada Sta³a Konferencji Episkopatu Polski. Czy bêd¹ dymisje biskupów?,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'wstrêt': 1, 'z³oœæ': 1}"

rz¹d,NCzas,Sejm bêdzie rozpatrywa³ dziœ projekt ws. zaostrzenia kar za pedofiliê,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

rz¹d,NCzas,"Projekt przeciwko ustawie 447 zdjêty z obrad! Sejm odbêdzie krótsze posiedzenie,...","{'smutek': 1, 'zaufanie': 1, 'z³oœæ': 1}"

pis,NCzas,Morawiecki reaguje na atak na polskiego ambasadora. Zamiast konkretnych dzia³añ wpis...,{'radoœæ': 1}

pis,NCzas,"Konferencja Konfederacji w Sejmie: „PiS daje paliwo wszystkim polako¿ercom. Nie wiem,...","{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

¿ydzi,NCzas,PILNE! ¯yd oplu³ polskiego ambasadora. Znamy szczegó³y ataku,"{'smutek': 1, 'z³oœæ': 1}"

lewica,NCzas,Hartman atakuje Koœció³ i deklaruje „wyrozumia³oœæ” dla pedofilii „do pewnych granic”....,"{'smutek': 4, 'z³oœæ': 4, 'radoœæ': 2, 'strach': 2, 'wstrêt': 2}"

koalicja obywatelska,NCzas,Ostra reakcja Ziemkiewicza na pobicie polskiego ambasadora. „Tyle godzin po napaœci...,{'zaufanie': 1}

francja,NCzas,"Topowy francuski raper: „Chcia³em pokazaæ ca³ej Francji, ¿e mam polskie korzenie” [VIDEO]","{'radoœæ': 2, 'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

ruch narodowy,NCzas,Skandal w Sejmie! Robert Winnicki wyrzucony z mównicy! [VIDEO],{'wstrêt': 1}

francja,NCzas,"Topowy francuski raper: „Chcia³em pokazaæ ca³ej Francji, ¿e mam polskie korzenie”...","{'radoœæ': 2, 'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

usa,NCzas,Alabama przeg³osowa³a bezwarunkow¹ ochronê ¿ycia nienarodzonych dzieci. W Kentucky feministki organizuj¹...,{'zaufanie': 1}

koalicja obywatelska,NCzas,Tak krakowska Stra¿ Miejsk¹ kpi sobie z ludzi! I po co...,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,NCzas,Rusza proces pos³a z PiS i ministra z PO. Chodzi o nielegalne posiadanie broni!,"{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

konfederacja,NCzas,Liderka Konfederacji ostrzega. Kaja Godek: „Po zaostrzeniu przepisów przeciwko pedofilii mo¿e...,"{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

polska,NCzas,Konflikt rosyjsko-bia³oruski! W tle strategiczne interesy Polski,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

koalicja obywatelska,NCzas,"Schetyna chcia³ byæ mi³y, a dosta³ potê¿ny cios. „Lider PO rozpowszechnia...","{'radoœæ': 6, 'zaufanie': 4, 'smutek': 4, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2, 'cieszenie siê na coœ oczekiwanego': 2}"

wiosna,NCzas,Biedroñ wytacza proces Platformie za oskar¿enie o krycie pedofilów. „Zachowa³ siê...,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,NCzas,Katolicki ksi¹dz wybrany na „Najlepszego obywatela Indii”! Wygra³ plebiscyt w kraju...,"{'radoœæ': 2, 'zaufanie': 1, 'cieszenie siê na coœ oczekiwanego': 1}"

polska,NCzas,„Czyœciciel Koœcio³a” przyje¿d¿a do Polski w czerwcu. Celem s¹ pedofile w...,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,NCzas,Tak krakowska Stra¿ Miejska kpi sobie z ludzi! I po co...,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

chiny,NCzas,Nauka jêzyków obcych ju¿ Chiñczykom nie pomo¿e. Pekin zablokowa³ dostêp do...,"{'radoœæ': 1, 'zaufanie': 1}"

szkolnictwo,NCzas,"Broniarz bez broni. Rz¹d chce zabroniæ nauczycielom strajków. Ma pomys³, jak...",{'z³oœæ': 2}

rosja,NCzas,"Fa³szywi weterani, fa³szywe ordery. Moskwa walczy z plag¹ megalomanii. „Takich b³aznów...","{'smutek': 3, 'wstrêt': 5, 'z³oœæ': 5, 'radoœæ': 1, 'strach': 1}"

polska,NCzas,Polski wiêzieñ polityczny nr 1 ma wyjœæ na wolnoœæ! Mateusz Piskorski...,"{'radoœæ': 1, 'z³oœæ': 1}"

polska,NCzas,"Tak chc¹ nas ograbiæ! Brytyjska pose³: „Najbardziej bezczelnym przestêpc¹ jest Polska,...","{'smutek': 1, 'wstrêt': 2, 'z³oœæ': 2}"

media,NCzas,Gwiazda TVN w baaardzo odwa¿nej sesji. Monika z „Big Brothera” prezentuje...,{'zaufanie': 1}

koœció³,NCzas,Ten list wywo³a³ trzêsienie ziemi w Watykanie. Papie¿ Franciszek zwyk³ym heretykiem?...,{'wstrêt': 2}

kanada,NCzas,Filipiny kontra Kanada. Konflikt przybiera na sile. Odwo³ani dyplomaci,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

iran,NCzas,Œwiat na krawêdzi wojny. Iran w pe³nej mobilizacji. Korpus Stra¿ników Rewolucji Islamskiej: „Jesteœmy gotowi do konfrontacji z USA”,"{'radoœæ': 2, 'smutek': 2, 'strach': 2}"

pis,NCzas,"Pora¿ka PiS. Rz¹dz¹ Polsk¹, a nie wiedzieli, ¿e ¯ydzi sprzedali ich...","{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

usa,NCzas,"Specjalny przedstawiciel USA ds. antysemityzmu gromi zachodni¹ Europê. „Te regulacje prowadz¹ do haniebnego, przymusowego wydalania ¯ydów”","{'radoœæ': 1, 'wstrêt': 2, 'smutek': 2, 'z³oœæ': 2, 'strach': 1}"

wielka Brytania,NCzas,Ksiê¿na Katarzyna nie wybaczy tego Meghan Markle. Ksiê¿na Sussex po raz...,"{'strach': 3, 'z³oœæ': 3}"

media,NCzas,"„Szmata za³gana” nad przepaœci¹. Agora zamyka drukarnie, a „Gazeta Wyborcza” tnie...","{'wstrêt': 2, 'z³oœæ': 2, 'strach': 1}"

iran,NCzas,Œwiat na krawêdzi wojny. Iran w pe³nej mobilizacji. Korpus Stra¿ników Rewolucji...,"{'radoœæ': 1, 'smutek': 1, 'strach': 1}"

ue,NCzas,"Kto podpali³ katedrê Notre Dame? Ze wzglêdu na wybory do Parlamentu Europejskiego, Bruksela walczy z „fa³szywymi”, jej zdaniem, wiadomoœciami","{'radoœæ': 3, 'z³oœæ': 3, 'zaufanie': 1, 'wstrêt': 2, 'smutek': 1}"

pis,NCzas,Przedwyborcza walka o g³osy. Morawiecki wycofuje siê z kontrowersyjnego projektu. Na...,{'wstrêt': 1}

usa,NCzas,Specjalny przedstawiciel USA ds. antysemityzmu gromi zachodni¹ Europê. „Te regulacje prowadz¹...,"{'radoœæ': 1, 'wstrêt': 2, 'smutek': 1, 'z³oœæ': 1}"

rz¹d,NCzas,"Zbiórka podpisów pod apelem o wymówienie tzw. konwencji stambulskiej, która promuje fa³szyw¹ ideologiê gender. Czy rz¹d podejmie dzia³ania?","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,NCzas,PiS odrzuci³ petycjê. Nie bêdzie dnia wolnego z okazji Narodowego Œwiêta...,"{'cieszenie siê na coœ oczekiwanego': 2, 'radoœæ': 2}"

koalicja obywatelska,NCzas,Takiego ciosu Koalicja Europejska siê nie spodziewa³a. Boni szczerze o roli...,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

konfederacja,NCzas,"Korwin-Mikke wprost o tym jak zwalczyæ pedofiliê w koœciele! „By³by mniejszy problem pedofilii, gdyby…”","{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

rz¹d,NCzas,Ambasador USA w³¹cza siê do kampanii w Polsce i atakuje Konfederacjê....,"{'smutek': 2, 'z³oœæ': 2}"

konfederacja,NCzas,Konfederacja stanowczo odpowiada na skandaliczne s³owa Mosbacher. „Czy pani ambasador w...,"{'smutek': 3, 'z³oœæ': 3}"

media,NCzas,Skandal w TVN. Tak powa¿nej wpadki widzowie programu „Agent – Gwiazdy”...,"{'wstrêt': 2, 'smutek': 2, 'strach': 2, 'z³oœæ': 1}"

francja,NCzas,Le Pen oskar¿ona o rasizm za wykonanie rêk¹ gestu „OK”. Z³¹czone...,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

konfederacja,NCzas,Korwin-Mikke wprost o tym jak zwalczyæ pedofiliê w koœciele! „By³by mniejszy...,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

wêgry,NCzas,Stany Zjednoczone chc¹ ukaraæ bliskich Viktora Orbana. Wêgry nie chc¹ reprezentowaæ w Europie amerykañskich interesów,"{'cieszenie siê na coœ oczekiwanego': 3, 'radoœæ': 3, 'zaufanie': 3}"

usa,NCzas,Strzelali do kolegów ze szko³y w Kolorado. Teraz grozi im kara...,"{'radoœæ': 1, 'zaufanie': 1}"

konfederacja,NCzas,MegaDEBATA! Jacek Wilk zmasakrowa³ innych kandydatów. „UE musi siê nauczyæ walczyæ...,"{'radoœæ': 2, 'wstrêt': 2, 'z³oœæ': 2}"

koalicja obywatelska,NCzas,Prokurator ¿¹da do¿ywocia dla najwiêkszego po wojnie w Niemczech seryjnego mordercy....,"{'smutek': 1, 'strach': 2, 'z³oœæ': 2, 'wstrêt': 1}"

pis,NCzas,"PiS wypuszcza spot pe³en manipulacji. Kaczyñski ma nadziejê, ¿e Polacy maj¹...","{'radoœæ': 2, 'wstrêt': 2, 'zaufanie': 2, 'z³oœæ': 2}"

ue,NCzas,Ci¹g dalszy przepychanek pomiêdzy Rosati a Œmigielskim. Aktorka wyznaje: „Obrzuca³ mnie...,"{'zaufanie': 1, 'z³oœæ': 1}"

konfederacja,NCzas,"Michalkiewicz bez ogródek. „Byæ mo¿e trafne s¹ podejrzenia pos³a Jakubiaka, ¿e...",{'radoœæ': 1}

kukiz15,NCzas,Wa¿ny polityk Kukiz’15 odchodzi z ruchu i przechodzi do Konfederacji. „Kukiz’15...,{'zaufanie': 2}

wêgry,NCzas,Stany Zjednoczone chc¹ ukaraæ bliskich Viktora Orbana. Wêgry nie chc¹ reprezentowaæ...,"{'cieszenie siê na coœ oczekiwanego': 3, 'radoœæ': 3, 'zaufanie': 3}"

s³owacja,NCzas,S³owacja przestaje finansowaæ projekty LGBTIAA. Lewicowi lobbyœci s¹ wœciekli i ¿¹daj¹...,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

izrael,NCzas,Skandal! Antypolonizm w natarciu. Szef „Jerusalem Post” nazywa Polaków „niemieckimi kolaborantami”,"{'wstrêt': 2, 'z³oœæ': 1}"

ukraina,NCzas,"Ukraina go uratuje? Gruzin, podejrzany w Polsce o zabójstwo Pauliny z...","{'zaufanie': 1, 'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

media,NCzas,Megaskandal w TVN. Fani programu „Big Brother” oburzeni. „Niesmacznie patrzy siê...,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

media,NCzas,Natalia Kukulska komentuje wpadkê Kingi Rusin w „Dzieñ Dobry TVN”. Piosenkarka...,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

konfederacja,NCzas,Kazio to niez³y bandzior. Marcin „Ró¿al” Ró¿alski ma nowego przyjaciela [FOTO/VIDEO],"{'radoœæ': 2, 'zaufanie': 2}"

pis,NCzas,Morawiecki zdecydowa³! Premier rz¹du PiS podj¹³ wa¿n¹ decyzjê. Wizja Kulczyka spe³nia...,{'zaufanie': 3}

media,NCzas,Tragedia w ¿yciu Doroty Welmann. Gwiazda TVN prze¿y³a za³amanie nerwowe. „Ten...,"{'smutek': 1, 'zaskoczenie czymœ nieprzewidywanym': 1}"

polska,NCzas,Jasnowidz Krzysztof Jackowski ma z³e wieœci dla Polski i œwiata. Mówi...,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'z³oœæ': 1}"

konfederacja,NCzas,Œwietny wynik Konfederacji Korwin Braun Liroy Narodowcy! PiS nie jest ju¿...,{'radoœæ': 4}

koalicja obywatelska,NCzas,Z³apany za jazdê po pijanemu okaza³ siê przy okazji gwa³cicielem 92-latki....,"{'smutek': 1, 'wstrêt': 2, 'z³oœæ': 2, 'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'strach': 1}"

ue,NCzas,Pogarda i pycha Junckera. Wyzywa uniosceptyków od „g³upków kochaj¹cych swoj¹ ojczyznê”...,"{'z³oœæ': 4, 'wstrêt': 3, 'smutek': 2, 'strach': 1, 'zaufanie': 1}"

media,NCzas,"Gwiazdy TVN szalej¹ w czasie ciszy wyborczej! Zobacz, co zrobi³y Magda...","{'smutek': 1, 'z³oœæ': 1}"

rz¹d,NCzas,Marsz sodomitów w Gdañsku pod patronatem Prezydent Gdañska. Z³owró¿ebne s³owa o...,"{'wstrêt': 1, 'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

niemcy,NCzas,Sêdzia ¯urek „walczy z demonta¿em rz¹dów prawa”. Niemcy poznaj¹ „polskiego bohatera”,"{'radoœæ': 1, 'wstrêt': 1, 'z³oœæ': 1}"

wielka Brytania,NCzas,Brytyjski dziennik: „Zwyciêstwo Partii Brexit bêdzie jak cios. Obna¿y unijne sprzecznoœci...,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,NCzas,Dulkiewicz chyba oszala³a! Po jej wpisie internauci przecieraj¹ oczy ze zdumienia,"{'wstrêt': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'z³oœæ': 1}"

koalicja obywatelska,NCzas,Wa³êsa siê doigra³! Cenckiewicz straci³ cierpliwoœæ i zapowiada zdecydowane dzia³ania!,"{'radoœæ': 2, 'zaufanie': 2}"

koalicja obywatelska,NCzas,Szokuj¹ce dane. Wyœcig po wielk¹ kasê. Za pracê w Parlamencie Europejskim...,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

media,NCzas,Co siê dzia³o w TVN?! Ostry hejt na gejów w „Big...,"{'zaufanie': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

lewica razem,NCzas,Rzetelnoœæ mediów g³ównego œcieku. Tym razem w TVP „Dziennikarz z Belgii” krytykowa³ Tuska. Prawda okaza³a siê inna,"{'zaufanie': 1, 'wstrêt': 1, 'radoœæ': 1, 'zaskoczenie czymœ nieprzewidywanym': 1}"

koalicja obywatelska,NCzas,"Przewrót na bazarze. Rynki siê za³amuj¹. Po ile chodz¹ pistacje, sa³atki...","{'radoœæ': 1, 'strach': 1, 'z³oœæ': 1}"

niemcy,NCzas,Wysoka frekwencja i zaskakuj¹ce wyniki. Niemcy wybra³y reprezentantów do Parlamentu Europejskiego,"{'radoœæ': 1, 'zaufanie': 1}"

media,NCzas,Skandal na planie „Kuchennych rewolucji” TVN. Wyciek³o nagranie z awantury przed...,"{'wstrêt': 2, 'radoœæ': 1, 'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

media,NCzas,Jêzyk mi³oœci gwiazdy „Dzieñ Dobry TVN” w praktyce. Kinga Rusin drze...,"{'radoœæ': 1, 'zaufanie': 1}"

media,NCzas,Gigantyczny skandal w „Big Brother”. Uczestnicy programu TVN udaj¹ romans? Widzowie...,"{'radoœæ': 1, 'smutek': 1, 'z³oœæ': 1, 'wstrêt': 1}"

